text,therapy,disorder,source,citation
"Patient presents with avoidance, heart palpitations, chest tightness. Patient has tried self-management without success.",Exposure Therapy,Panic Disorder,clinical_knowledge_graph,NICE CG113: Panic disorder — CBT with interoceptive exposure is first-line
"Patient presents with blushing, embarrassment. Patient reports significant distress.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG159: CBT recommended for social anxiety disorder
"When having sex I think of other men and want other men all day long. Been married 3 years, together 14. What do you think?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"She mostly targets me on social media. The bullying used to be much worse, but it is still going on. The comments are so vague, but I know that they are meant for me. Even when I confront her, she messages me short phrases to try to get in my head. If I try to fight back, she will ruin me.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I get an uncontrollable swallowing that is repetitive and then somewhat out of body feeling that lasts no more than a minute or two. It usually happens in bed at night, but I occasionally experience this during the day. I have a benign brain tumor, but the doctor said it is not associated with this.",Sleep Therapy,Anxiety,huggingface_counseling,
"Patient presents with detachment, emotional numbing. No prior psychiatric history.",EMDR Therapy,PTSD,clinical_knowledge_graph,NICE 2018: Trauma-focused EMDR for PTSD — 8-12 sessions
"Patient presents with chronic stress, gastrointestinal, headaches, physiological tension. Previous episode resolved with therapy.",Mindfulness-Based Therapy,Stress,clinical_knowledge_graph,MBSR evidence base: Kabat-Zinn 1990 — stress reduction programme
Every winter I find myself getting sad because of the weather. How can I fight this?,Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"Patient presents with nervousness, concentration difficulties. This has persisted for several months.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,DSM-5 GAD criteria + NICE step-care model
"I don't remember when the voices in my head started, but I remember Hearing them when I was little. 

I know it's not normal to hear voices that aren't your own. I fight the voices and I want them to stop.  They've been here so long and I want them gone. How can I make the voices stop?",Medication Management,Anxiety,huggingface_counseling,
"All my friends have either hooked up or had a girlfriend but me. I try to be happy for them, but I get really upset every time they hook up.",Sleep Therapy,Anxiety,huggingface_counseling,
"I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My mother has Alzheimer's and I can see that she has lost some of her intellectual abilities.  Even though I know this disease is not her fault, I’m still finding it difficult to separate my own feelings of disappointment and frustration when my mom seems to ignore my opinions and wishes, and seems",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My brother just broke up with his girlfriend. While they were dating for the past two years, her son spent the weekends with me and my mother. Now she doesn't think her son should have any interaction with us. How should we approach the situation? Is she doing the right thing for her child?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I start to think of an issue that doesn't even matter or something bad that happened years ago. Then, I cry, pull at my hair, plug my ears, hit myself, and throw things. In loud public places, I get on edge and start being sarcastic and moody. I have an awful fear of people leaving me (which normall",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with deadline anxiety, pressure, overwhelmed, work-life imbalance. Patient has tried self-management without success.",Cognitive Behavioral Therapy,Stress,clinical_knowledge_graph,CBT for stress management: problem-solving + cognitive restructuring
"Patient presents with panic attacks, fear of dying, heart palpitations.",Exposure Therapy,Panic Disorder,clinical_knowledge_graph,NICE CG113: Panic disorder — CBT with interoceptive exposure is first-line
"I love my girlfriend so much. I get an erection even just thinking about her or seeing her.  But the two times we tried to have sex I couldn't get an erection.  We've only had sex once and it was a long time ago. 

Why this is happening and what can I do about it?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I was raped repeatedly when I was younger. I told my parents and action was taken, but now that I’m an adult, I suffer from extreme anxiety.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I don't have time to live or take care of myself at times. It's causing depression, stress, and anxiety. I don't know what to do.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I was born a girl, but I want to be a boy. Because of my religion I can't tell my family. I know they won't accept me. What do I do?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"After 40 years of being straight, how could I now find myself interested in people of the same sex? I have had a few same sex encounters of my own doing.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I'm in a relationship, but I feel like I'm always putting more into it and not getting reciprocated. My ex told me that I will never find anyone else, and that's lingering in the back of my mind.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with treatment-resistant depression, medication side effects, chronic depression. Impact on work and relationships noted.",Medication Management,Depression,clinical_knowledge_graph,NICE CG90: Combination of antidepressant + psychological therapy
"I am on the track and softball team. My school is small, so I play all four sports it offers. I feel obligated to do track because I'm not a horrible runner, and my dad wants me to. The catch is is that the days before a track meet and the morning of, I get sick and cry.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with unexpected panic attacks, agoraphobia, avoidance of places. Patient has tried self-management without success.",Exposure Therapy,Panic Disorder,clinical_knowledge_graph,NICE CG113: Exposure therapy for panic disorder with agoraphobia
"My boyfriend won't touch me intimately, he won't kiss me while we are having sex and he won't have oral sex with me. I know he has done this things with other women in the past. I don't know why he won't do them with me. What should I do?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
